table,table_description,column,type,org_specific,discontinued,column_description,bucket,time_typed,is_pk
ABN_DOCUMENT_ID,This table contains information related to a patient's Advance Beneficiary Notice (ABN) documents.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
ABN_NOTE_COMMENTS,Stores information about the follow-up comments associated with an ABN note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
BLOCK_NOTE_COPIES,Info for note copies to potentially block while blocking parent note.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_UTC,DATETIME (UTC),False,False,"Holds the instant, in UTC format, that the child note was added to the note. Any workflow that links a child note to a clinical note must populate this item with the UTC timestamp of when the link was added.",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CHILD_NOTE_INFO,"The CHILD_NOTE_INFO table contains information about child notes that are linked to clinical notes. Each row represents one child note and contains information such as the user that created the link, when the link was created, and what type of link it is.",LINK_DTTM,DATETIME (Local),False,False,"Holds the instant, in local time zone format, that the child note was added to the note. This item is automatically calculated based on the Child Note - Instant (UTC) item (I HNO 34253).",Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CONTACT_POINT_DOCUMENTS,This table contains Clinical References linked to patient education points.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CONTACT_TITLE_DOCUMENTS,This table contains Clinical References linked to patient education titles.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CONTACT_TOPIC_DOCUMENTS,This table contains Clinical References linked to patient education topics.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_DATE,DATETIME,False,False,The date the note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
COVERAGE_NOTE_INFO,This table contains information about notes attached to coverage records.,NOTE_DTTM,DATETIME (Local),False,False,The date and time the note was created.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
CP_NOTE_READING_HX,This table stores the history information for the note's care plan reading.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_ASMT_PLAN_NOTE,This table extracts the related multiple response item DXR-11048.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_CLN_NOTE_SIGNRS,Clinical note signer information for notes recieved externally.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_CLN_NOTE_SIGNRS,Clinical note signer information for notes recieved externally.,NOTE_SIGNED_UTC_DTTM,DATETIME (UTC),False,False,The UTC instant when a clinical note was signed.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_INTVN_NOTE,This table extracts the dispense intervention note associated with a particular dispense.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_NOTE_SECTIONS,Stores note section data received.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_PCCNOTE,This table stores discrete information for patient care coordination notes received from outside sources.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_PCCNOTE,This table stores discrete information for patient care coordination notes received from outside sources.,PCCNOTE_SIGNED_INST_DTTM,DATETIME (Local),False,False,This item stores the instant when the patient care coordination note was signed.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_PCCNOTE,This table stores discrete information for patient care coordination notes received from outside sources.,PCC_LST_UPD_INST_DTTM,DATETIME (UTC),False,False,Stores the last update instant of a Patient Care Coordination note in UTC.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_RSLTS_ADDENDUM,This table stores discrete result addendum information received from outside sources.,CONTACT_DATE,DATETIME,False,False,The date of this contact in calendar format.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
DOCS_RCVD_RSLTS_ADDENDUM,This table stores discrete result addendum information received from outside sources.,RSLT_ADDEND_INS_UTC_DTTM,DATETIME (UTC),False,False,This item stores the instant when this addendum is documented.,Reused from CM-04 note-timestamp candidates (bucket by hour-of-day/day-of-week),True,
